lemma,pos,synset,sense_key,n,n_conf,share,share_conf
control,n,control.n.02,control%1:24:00::,19934,2448,0.21256358033248382,0.051714303821534954
control,n,control.n.09,control%1:06:00::,16281,9300,0.17361029654826773,0.19646365422396855
control,n,control.n.01,control%1:07:00::,10753,1161,0.1146631975175679,0.024526269091830914
control,n,control.n.03,control%1:04:02::,6805,2611,0.0725642201345717,0.05515769905148193
control,n,control.n.05,control%1:04:00::,6309,990,0.06727518954136853,0.020913872869003106
control,v,control.v.02,control%2:41:01::,33561,19303,0.529328265224043,0.5585197187581378
control,v,control.v.01,control%2:41:00::,13742,8186,0.21674053278236047,0.23685657243714012
control,v,operate.v.03,control%2:35:00::,9418,4605,0.14854186710408024,0.133242672376378
control,v,control.v.05,control%2:41:02::,5971,2460,0.0941753544784947,0.07117849599259281
court,n,court.n.01,court%1:14:00::,94613,89585,0.9668792282379872,0.9822378159092156
court,n,court.n.02,court%1:06:02::,1448,596,0.014797555541929814,0.00653472945562195
court,n,court.n.04,court%1:06:01::,818,751,0.008359392564432726,0.008234197686530343
day,n,day.n.01,day%1:28:00::,65965,53275,0.6885340013569229,0.7831679529584712
day,n,day.n.02,day%1:28:03::,15854,8736,0.16548196858201555,0.12842337375964719
day,n,day.n.03,day%1:28:01::,5969,2948,0.06230363759720265,0.04333700845277472
day,n,day.n.04,day%1:28:02::,5174,2476,0.054005532070351234,0.036398382947445795
day,n,day.n.05,day%1:28:04::,2544,583,0.026553937685924536,0.008570378537302463
different,a,different.a.01,different%3:00:00::,61575,1491,0.6355735386711533,0.46681277395115844
different,a,different.s.02,different%5:00:00:other:00,34977,1703,0.36103054262445683,0.5331872260488416
end,n,end.n.01,end%1:15:00::,27856,18741,0.33354487217865053,0.5365762876857445
end,n,end.n.05,end%1:09:00::,21672,6658,0.2594982937196911,0.19062616314026398
end,n,end.n.02,end%1:28:00::,10960,4598,0.13123391007603424,0.1316460045237209
end,n,end.n.06,end%1:26:00::,7116,557,0.08520625037418428,0.01594754774243422
end,n,goal.n.01,end%1:09:02::,4176,2923,0.05000299347422619,0.0836888367165803
end,n,end.n.10,end%1:15:03::,1553,712,0.018595461893073102,0.020385375211154695
end,n,end.n.08,end%1:18:00::,738,655,0.008836735915703766,0.01875339994846394
end,v,end.v.01,end%2:42:00::,37335,31686,0.7773914129846333,0.8681333735170826
end,v,end.v.02,end%2:30:01::,9076,4730,0.1889809686419856,0.12959259157785144
example,n,example.n.01,example%1:09:00::,92733,82124,0.985012321549966,0.9961306599711316
example,n,exemplar.n.01,example%1:09:01::,867,278,0.009209296397008838,0.0033720267336220175
file,n,file.n.01,file%1:10:00::,79904,63733,0.9502426029873466,0.9883537001426711
file,n,file.n.02,file%1:14:00::,2290,235,0.02723337455998478,0.0036443148688046646
file,n,file.n.03,file%1:06:01::,1580,256,0.018789839216059367,0.003969977048570188
file,n,file.n.04,file%1:06:00::,314,260,0.0037341832366092663,0.004032007939954097
file,v,file.v.01,file%2:32:02::,64196,61398,0.9553118349975446,0.9754384850025419
file,v,file.v.05,file%2:32:00::,1954,1287,0.029077813657941338,0.020446746314184038
find,v,detect.v.01,find%2:39:02::,21555,3619,0.22469977483112336,0.13876533742331287
find,v,determine.v.01,find%2:32:00::,20553,5638,0.21425444083062298,0.21618098159509203
find,v,find.v.01,find%2:40:02::,16272,2448,0.16962722041531147,0.09386503067484663
find,v,rule.v.04,find%2:32:01::,10064,7271,0.10491201734634309,0.27879601226993866
find,v,find.v.03,find%2:40:00::,9279,2426,0.09672879659744808,0.09302147239263804
find,v,find.v.05,find%2:31:10::,4509,3402,0.04700400300225169,0.13044478527607362
find,v,line_up.v.02,find%2:40:01::,4356,1105,0.045409056792594445,0.04236963190184049
first,a,first.s.02,first%5:00:00:ordinal:00,57704,17382,0.615745779712743,0.7443792557063937
first,a,first.a.01,first%3:00:00::,35019,5695,0.3736794929252833,0.24388677144447776
first,a,first.s.05,first%5:00:00:best:00,979,274,0.010446678191092046,0.011733972849128516
first,r,first.r.01,first%4:02:00::,58228,51385,0.6296348360168255,0.6661265232045631
first,r,first.r.02,first%4:02:02::,29014,24609,0.3137360914369749,0.3190173710137412
first,r,first.r.03,first%4:02:03::,4658,944,0.05036819169757458,0.012237490277417683
first,r,foremost.r.01,first%4:02:01::,579,202,0.006260880848625093,0.002618615504277936
following,a,following.s.01,following%5:00:01:succeeding:00,18580,17222,0.8310596233841749,0.8287776708373435
following,a,following.s.02,following%5:00:02:succeeding:00,3758,3552,0.1680905309299101,0.17093358999037536
following,n,pursuit.n.01,following%1:04:01::,9422,3128,0.9034423242880429,0.8233745722558568
following,n,following.n.01,following%1:14:00::,1007,671,0.09655767571195704,0.1766254277441432
found,v,establish.v.01,found%2:41:00::,12699,10661,0.8527969914713586,0.9702402621041136
found,v,establish.v.08,found%2:31:00::,939,314,0.06305822308777113,0.028576629049872588
function,n,function.n.01,function%1:24:00::,29394,24970,0.38396426052198446,0.45423124499745327
function,n,function.n.02,function%1:07:00::,22740,13364,0.29704522297985736,0.2431055810230663
function,n,routine.n.03,function%1:10:00::,22374,16160,0.292264284034799,0.2939678381721604
function,n,function.n.03,function%1:04:00::,1427,402,0.01864043681584241,0.007312813796114386
function,v,function.v.01,function%2:35:00::,11976,7101,0.839301983320485,0.9489509554991313
function,v,serve.v.01,function%2:42:12::,2153,368,0.15088653724858084,0.04917813711078445
get,v,get.v.01,get%2:40:00::,44654,32291,0.4754117559381222,0.5020679146713104
get,v,become.v.01,get%2:30:00::,26028,19761,0.2771088185505765,0.3072485851110144
get,v,get.v.03,get%2:30:02::,13119,8084,0.1396722987000543,0.12569189626220537
get,v,arrive.v.01,get%2:38:00::,5087,3213,0.054159080988427186,0.0499564649542882
get,v,bring.v.04,get%2:35:03::,736,226,0.007835872539312444,0.003513900118166553
get,v,catch.v.18,get%2:31:09::,525,211,0.005589447123830208,0.0032806766589962063
good,a,good.a.01,good%3:00:01::,88797,42893,0.9097027998893568,0.9671258821672567
good,a,full.s.06,good%5:00:00:ample:00,2393,1280,0.024515679585292643,0.02886067957881446
good,n,commodity.n.01,good%1:06:00::,10321,9747,0.6840988930867634,0.8790584415584416
good,n,good.n.01,good%1:07:00::,2312,554,0.1532445151454895,0.04996392496392496
good,n,good.n.03,good%1:07:02::,1524,478,0.10101411811493338,0.04310966810966811
good,n,good.n.02,good%1:07:01::,930,309,0.06164247365281368,0.027867965367965368
group,n,group.n.01,group%1:03:00::,87067,85869,0.952176290463692,0.9565658140985652
group,n,group.n.02,group%1:27:00::,4345,3899,0.0475174978127734,0.04343418590143481
here,r,here.r.02,here%4:02:02::,50463,35919,0.541134964720012,0.5555143135526377
here,r,here.r.01,here%4:02:00::,42444,28732,0.45514401527012244,0.4443619604386087
high,a,high.a.01,high%3:00:02::,88591,77988,0.9156976443714017,0.9476293470072177
high,a,high.a.02,high%3:00:01::,5039,3248,0.052084302355628595,0.03946632967994362
high,a,eminent.s.01,high%5:00:00:superior:01,2419,817,0.025003359277290253,0.00992733723784296
high,r,high.r.02,high%4:02:02::,2952,2677,0.8324873096446701,0.8800131492439185
high,r,high.r.01,high%4:02:00::,591,365,0.16666666666666666,0.11998685075608152
however,r,however.r.01,however%4:02:00::,97324,93281,0.9899604316912655,0.9956770488653588
however,r,however.r.03,however%4:02:02::,641,326,0.00652012490972526,0.0034797088145507335
information,n,information.n.01,information%1:10:00::,81379,51663,0.8490599503369989,0.968796294559979
information,n,information.n.02,information%1:09:00::,13906,1284,0.14508691025186235,0.024077859245785437
information,n,information.n.03,information%1:10:02::,511,378,0.005331469231892828,0.007088341740581694
just,r,merely.r.01,just%4:02:00::,67738,60635,0.6983226977041473,0.7627619694568144
just,r,precisely.r.01,just%4:02:05::,13009,8640,0.13411201946371687,0.10868744810929126
just,r,just.r.03,just%4:02:01::,11003,9062,0.11343182029051246,0.11399602485722193
just,r,just.r.04,just%4:02:03::,4949,1157,0.051020092576365195,0.014554557576672454
know,v,know.v.01,know%2:31:01::,60944,35020,0.6290084529719576,0.7511797511797512
know,v,know.v.02,know%2:31:03::,15948,5159,0.16460072866888914,0.11066066066066066
know,v,acknowledge.v.06,know%2:31:06::,7679,1282,0.07925564305545521,0.0274989274989275
know,v,know.v.04,know%2:31:00::,7466,4264,0.07705725108113408,0.09146289146289147
know,v,know.v.03,know%2:31:02::,4551,792,0.04697127640908669,0.01698841698841699
left,a,left.a.01,left%3:00:00::,29764,27431,0.8915915286223527,0.9191770264383607
left,a,left.a.04,left%3:00:02::,2137,1780,0.0640146182188539,0.0596454780015414
left,a,leftover.s.01,left%5:00:00:unexhausted:00,685,463,0.020519426055177786,0.01551452601950206
left,n,left.n.01,left%1:15:00::,5461,5162,0.8049823113207547,0.8183259353202282
left,n,left.n.02,left%1:14:00::,1015,962,0.14961674528301888,0.15250475586556753
like,a,like.a.01,like%3:00:00::,25476,11770,0.6819057815845825,0.9144588610053609
like,a,alike.a.01,like%3:00:04::,11747,1078,0.3144271948608137,0.08375417605469661
like,n,like.n.02,like%1:09:00::,1584,1033,0.5546218487394958,0.5770949720670391
like,n,like.n.01,like%1:09:01::,1272,757,0.44537815126050423,0.4229050279329609
like,v,wish.v.02,like%2:37:01::,35761,32031,0.4799554416245017,0.5892275712367322
like,v,like.v.02,like%2:37:05::,32185,19343,0.4319612395817955,0.3558249480325969
like,v,like.v.03,like%2:37:04::,4746,2556,0.06369700304661181,0.04701900259377127
like,v,like.v.05,like%2:37:06::,1763,431,0.023661571085372236,0.007928478136899616
make,v,make.v.02,make%2:30:00::,33159,24690,0.3420216606498195,0.43822438366376176
make,v,make.v.01,make%2:41:00::,31569,23391,0.32562145435791645,0.4151683498695444
make,v,make.v.03,make%2:36:00::,18153,4425,0.18724084579680247,0.07853960703572886
make,v,produce.v.02,make%2:36:01::,4866,1640,0.050190820010314594,0.029108464528496122
make,v,induce.v.02,make%2:32:00::,2416,694,0.024920061887570913,0.012317850233400188
make,v,gain.v.08,make%2:40:01::,1414,1152,0.014584837545126354,0.020446921424894838
model,n,model.n.01,model%1:09:00::,66549,59213,0.7038498149127446,0.8604289575401785
model,n,model.n.04,model%1:06:00::,12643,2095,0.13371760973030142,0.030442616757243746
model,n,model.n.02,model%1:09:03::,10464,6737,0.11067160232681121,0.09789589932866401
model,n,model.n.03,model%1:18:00::,1185,470,0.012533051295610787,0.0068296085326513415
model,n,mannequin.n.01,model%1:18:02::,646,256,0.0068323638286620835,0.0037199569879973263
more,a,more.a.01,more%3:00:01::,58135,38139,0.5986325208777403,0.5962106645406369
more,a,more.a.02,more%3:00:02::,38978,25830,0.4013674791222596,0.40378933545936313
more,r,more.r.01,more%4:02:00::,93751,89883,0.9592367115158337,0.9869660700560009
more,r,more.r.02,more%4:02:01::,3984,1187,0.04076328848416637,0.013033929943999122
most,a,most.a.01,most%3:00:02::,72720,55697,0.7430112800392349,0.8315591454037833
most,a,most.a.02,most%3:00:01::,25152,11282,0.25698871996076506,0.16844085459621672
most,r,most.r.01,most%4:02:00::,73314,62962,0.7550127184536009,0.8421432775132417
most,r,most.r.02,most%4:02:01::,22496,11726,0.23167152405178007,0.15684019046599967
much,r,much.r.01,much%4:02:00::,83656,59051,0.874175783984869,0.9360693678270243
much,r,much.r.02,much%4:02:03::,9028,3671,0.09433942547833266,0.058192251601039885
much,r,much.r.05,much%4:02:06::,1754,358,0.01832868323980898,0.005674973051803944
name,n,name.n.01,name%1:10:00::,72233,70818,0.9697266673826657,0.9843352560984086
name,n,name.n.04,name%1:18:00::,636,436,0.008538288046396735,0.006060184863437348
name,n,name.n.02,name%1:26:00::,575,383,0.00771936419289013,0.005323511015358955
need,n,need.n.01,need%1:26:00::,55529,39360,0.8072366221343529,0.9285427823256034
need,n,need.n.02,need%1:17:00::,12761,3005,0.18550931108171365,0.07089103305102738
need,v,necessitate.v.01,need%2:42:00::,73244,48536,0.7754462489677515,0.8845796351309483
need,v,want.v.02,need%2:34:00::,21203,6333,0.22447964088339298,0.11542036486905174
new,a,new.a.01,new%3:00:00::,56802,25317,0.6477960882705138,0.949696151249156
new,a,fresh.s.04,new%5:00:00:original:00,28649,1250,0.3267263500028511,0.04689023932778153
now,r,nowadays.r.01,now%4:02:00::,53734,12751,0.5690834763084874,0.8011435033928123
now,r,now.r.01,now%4:02:05::,33631,1289,0.3561775857321387,0.0809876853480774
now,r,now.r.03,now%4:02:02::,4260,1742,0.04511660418122895,0.10944961045488816
number,n,number.n.01,number%1:07:00::,56395,31065,0.6222759221865448,0.5566705492339397
number,n,number.n.02,number%1:23:00::,26486,19217,0.2922528606265241,0.34435982438849566
number,n,number.n.08,number%1:10:02::,3575,2483,0.039447405298641686,0.04449422094794373
number,n,phone_number.n.01,number%1:10:03::,2871,2551,0.03167930087060147,0.045712749753606306
number,v,number.v.02,number%2:32:03::,1349,875,0.6360207449316361,0.6544502617801047
number,v,total.v.01,number%2:42:00::,549,414,0.25884016973125884,0.30964846671652957
one,n,one.n.01,one%1:23:00::,58742,48332,0.6396959533040031,0.6378188632434644
one,n,one.n.02,one%1:09:00::,33086,27445,0.36030404669599686,0.3621811367565356
only,a,alone.s.03,only%5:00:00:exclusive:00,55695,25916,0.8918763111118229,0.9904834702847315
only,a,lone.s.03,only%5:00:00:single:05,6752,249,0.10812368888817718,0.009516529715268488
only,r,merely.r.01,only%4:02:02::,64828,45438,0.6811381020425318,0.8115377746026076
only,r,entirely.r.02,only%4:02:01::,29234,10521,0.30715726653778264,0.18790855509912485
order,n,order.n.13,order%1:10:04::,20957,1057,0.22345790904728902,0.02573278800272665
order,n,decree.n.01,order%1:10:00::,18404,15527,0.19623607186650316,0.37800662187165257
order,n,ordering.n.01,order%1:14:00::,17000,10765,0.18126566081996054,0.2620751777193495
order,n,order.n.15,order%1:04:00::,11510,513,0.12272751506104387,0.012489044697633655
order,n,order.n.02,order%1:07:01::,10121,8670,0.10791704430346004,0.21107215892491965
order,n,order.n.01,order%1:10:03::,4192,1493,0.04469797942101615,0.036347258739896776
order,n,order.n.07,order%1:10:01::,3974,1346,0.042373513888148424,0.03276852663355731
order,n,orderliness.n.02,order%1:26:02::,3904,360,0.04162712587300741,0.008764241893076249
order,n,order.n.03,order%1:26:00::,2469,680,0.026326171562616622,0.016554679131366247
order,n,order.n.11,order%1:14:03::,460,302,0.004904835528069521,0.007352225143636187
order,n,order.n.12,order%1:14:01::,283,267,0.003017540118355814,0.006500146070698218
order,v,order.v.01,order%2:32:01::,14141,6164,0.47365600401942726,0.4196337395329839
order,v,order.v.02,order%2:32:00::,8030,6936,0.2689666722492045,0.47219007420518755
order,v,order.v.06,order%2:30:01::,3469,1376,0.11619494222073355,0.09367553951936823
other,a,other.a.01,other%3:00:00::,95549,95245,0.996526981080912,0.9970166439861824
other,a,other.s.02,other%5:00:00:past:00,300,281,0.0031288458730522935,0.0029414843504658224
out,r,away.r.02,out%4:02:03::,17733,5032,0.6138960049851139,0.7641609719058466
out,r,out.r.01,out%4:02:02::,6298,1455,0.21802949525721804,0.22095671981776766
over,r,over.r.03,over%4:02:00::,9796,6779,0.5113802463979954,0.740793355917386
over,r,over.r.01,over%4:02:01::,3676,2168,0.19189809981206932,0.23691399847011255
part,n,part.n.01,part%1:24:00::,65403,51067,0.6883294568340402,0.7502791490362012
part,n,part.n.02,part%1:06:00::,14382,10010,0.1513623877832388,0.14706746591443348
part,n,region.n.01,part%1:15:00::,4410,2182,0.046412747192607635,0.03205806299952985
part,n,function.n.03,part%1:04:01::,3231,923,0.03400444131050233,0.013560766337564645
part,n,part.n.04,part%1:09:02::,3148,2402,0.03313091341549407,0.03529031499764927
part,n,part.n.03,part%1:17:00::,2491,661,0.02621636128271783,0.009711448048895158
part,n,character.n.04,part%1:09:01::,602,498,0.006335708346927392,0.0073166431593794075
part,n,part.n.11,part%1:10:00::,320,232,0.003367818390393298,0.0034085566525622942
return,n,restitution.n.03,return%1:04:02::,48134,29815,0.7475848787003386,0.8319381661923099
return,n,return.n.05,return%1:04:00::,7988,997,0.12406423756717298,0.027819632792008483
return,n,tax_return.n.01,return%1:10:01::,2400,2282,0.03727518404622123,0.06367542831631229
return,n,return.n.06,return%1:21:00::,2026,1610,0.031466467865685084,0.04492438194095653
return,n,return.n.02,return%1:04:01::,1768,720,0.027459385580716304,0.020090406830738324
return,n,return.n.12,return%1:04:05::,359,276,0.005575746280247259,0.00770132261844969
return,v,return.v.07,return%2:35:01::,26969,10774,0.410231058243714,0.37031690382896815
return,v,render.v.07,return%2:40:08::,17676,7118,0.26887330585175157,0.24465525537911598
return,v,return.v.01,return%2:38:00::,13485,10245,0.20512313472566587,0.3521344607135492
return,v,revert.v.01,return%2:30:00::,2331,332,0.03545732495702834,0.011411287550697738
right,a,right.a.01,right%3:00:00::,29832,21401,0.3763672836001665,0.6143181100554008
right,a,correct.s.02,right%5:00:01:proper:00,21043,3124,0.26548326457489624,0.08967477107672876
right,a,correct.a.01,right%3:00:02::,13640,6943,0.1720853361593682,0.19929959525791544
right,a,right.a.04,right%3:00:01::,5007,782,0.06316944854471822,0.022447397881562706
right,a,right.a.07,right%3:00:03::,2527,2149,0.031881205606651274,0.06168728650572667
right,a,right.s.11,right%5:00:00:perpendicular:00,1970,303,0.02485396717257737,0.008697649051296035
right,n,right.n.01,right%1:07:00::,74679,72110,0.821361401656383,0.8490621578023997
right,n,right.n.02,right%1:15:00::,10265,9512,0.11290021007248051,0.11199943482202782
right,n,right.n.07,right%1:07:01::,3993,1711,0.04391724684066387,0.020146239800303785
right,n,right.n.04,right%1:14:00::,1441,1233,0.01584892379098338,0.014518009160592966
right,n,right.n.05,right%1:08:00::,381,257,0.00419045105091233,0.003026057059426109
right,r,right.r.02,right%4:02:08::,18829,12356,0.4473509147065811,0.7606032625423207
right,r,right.r.04,right%4:02:03::,5011,2875,0.1190544072226182,0.17697753154816867
right,r,properly.r.01,right%4:02:01::,1509,441,0.035851746258018534,0.027146814404432132
right,r,justly.r.02,right%4:02:05::,1498,353,0.0355904015205512,0.021729763004001233
same,a,same.a.01,same%3:00:02::,76132,48080,0.7996386858247206,0.9649774209734069
same,a,same.a.02,same%3:00:00::,12794,649,0.13437946391059574,0.013025589563472153
same,a,like.a.02,same%3:00:04::,4301,769,0.045174775228972355,0.015434019066733567
same,a,same.s.04,same%5:00:00:unchanged:00,1981,327,0.020807075035711286,0.006562970396387356
second,n,second.n.01,second%1:28:00::,18771,17992,0.8845066440486288,0.9009063141555255
second,n,second.n.05,second%1:24:00::,2090,1907,0.09848270662520027,0.0954884582644835
see,v,see.v.01,see%2:39:00::,56764,25172,0.5906456479891785,0.6271051320378674
see,v,understand.v.02,see%2:31:01::,12032,4505,0.1251963997710837,0.11223218734429496
see,v,witness.v.02,see%2:39:02::,11672,5355,0.12145049685240102,0.13340807174887892
see,v,see.v.05,see%2:31:00::,3554,2774,0.036980386036106344,0.06910812157448928
see,v,watch.v.03,see%2:39:03::,1637,946,0.017033452994121012,0.02356751370204285
see,v,visualize.v.01,see%2:36:00::,1050,450,0.010925550179491181,0.011210762331838564
see,v,see.v.11,see%2:41:11::,728,461,0.007575048124447219,0.011484803188839062
see,v,see.v.10,see%2:31:03::,516,266,0.005369127516778523,0.006626806178375685
set,n,set.n.01,set%1:14:00::,50614,43296,0.6698872359574355,0.7104343402851845
set,n,set.n.02,set%1:14:02::,15377,11603,0.2035179204828207,0.19039102111809394
set,n,set.n.07,set%1:04:01::,3207,1667,0.04244533855683202,0.027353428613622565
set,n,stage_set.n.01,set%1:06:00::,2315,1829,0.03063952564984912,0.030011650230543294
set,n,set.n.13,set%1:06:01::,1475,1195,0.01952194398856477,0.01960848661864365
set,n,set.n.03,set%1:04:00::,929,431,0.012295515908729949,0.007072182203042187
set,n,set.n.08,set%1:28:00::,633,548,0.00837789189475356,0.008992008926373824
set,v,set.v.08,set%2:30:02::,19738,4744,0.22856282640666073,0.26495392348506003
set,v,put.v.01,set%2:35:00::,18504,3566,0.21427330731729913,0.19916224518290981
set,v,determine.v.03,set%2:31:04::,17934,3004,0.2076728001204303,0.16777436470259705
set,v,set.v.05,set%2:30:01::,16395,4531,0.18985143068888452,0.25305780508237924
set,v,set.v.09,set%2:36:01::,3648,487,0.042243246059960396,0.02719910639486177
set,v,set.v.04,set%2:32:01::,1766,1103,0.02044999247310583,0.06160290421669925
state,n,state.n.02,state%1:03:00::,45691,44598,0.49539742602812503,0.6406561992731242
state,n,state.n.01,state%1:15:01::,32621,22132,0.3536880224653316,0.3179291224340281
state,n,state.n.04,state%1:14:00::,9975,2642,0.10815235658292766,0.03795268125206499
string,n,string.n.05,string%1:10:00::,54441,49554,0.7660301960066978,0.8857153070708516
string,n,string.n.01,string%1:06:00::,8300,2749,0.11678791034065486,0.049134910988775295
string,n,string.n.04,string%1:14:00::,2988,976,0.042043647722635746,0.01744477014370487
string,n,string.n.08,string%1:17:00::,1655,1317,0.023287227905275154,0.02353971545006077
string,n,string.n.03,string%1:06:03::,1631,744,0.022949527923567237,0.013298062486594694
string,n,bowed_stringed_instrument.n.01,string%1:06:05::,691,511,0.009722945306673796,0.009133481089583185
study,n,survey.n.01,study%1:04:00::,90192,77528,0.9267570900123304,0.9744962731123596
study,n,report.n.01,study%1:10:00::,3767,747,0.03870735717221537,0.009389494324823711
study,n,study.n.02,study%1:09:03::,2420,1035,0.024866420057542128,0.013009540329575022
study,v,analyze.v.01,study%2:31:02::,44141,39000,0.8513375378502961,0.9293015941096576
study,v,study.v.02,study%2:31:03::,5884,2955,0.11348338444328723,0.07041246693830867
system,n,system.n.01,system%1:06:00::,64757,54003,0.6758968364141156,0.7660325971317928
system,n,system.n.03,system%1:27:00::,14446,11269,0.1507791543591938,0.15985077379179255
system,n,system.n.06,system%1:08:00::,6502,3992,0.06786418812428895,0.056626523114458774
system,n,system.n.02,system%1:14:00::,4969,582,0.05186360362805165,0.008255670454061875
system,n,arrangement.n.03,system%1:09:02::,1910,422,0.019935496665240218,0.005986070329233868
table,n,table.n.01,table%1:14:00::,65155,64398,0.7985366391724781,0.8281316307241233
table,n,table.n.02,table%1:06:01::,14987,12847,0.18367997254666454,0.165207103635405
table,n,board.n.04,table%1:13:01::,877,287,0.010748471069822166,0.0036907012332343145
table,v,postpone.v.01,table%2:42:00::,308,276,0.5703703703703704,0.5609756097560976
table,v,table.v.02,table%2:36:00::,232,216,0.42962962962962964,0.43902439024390244
test,n,trial.n.02,test%1:09:02::,66220,10370,0.766541649303144,0.801638837353123
test,n,test.n.05,test%1:04:00::,10085,479,0.11674075103023568,0.03702844774273346
test,n,test.n.02,test%1:04:02::,8184,1789,0.09473537991387693,0.13829622758194188
test,n,examination.n.02,test%1:10:00::,1740,294,0.02014168634532574,0.022727272727272728
test,v,test.v.01,test%2:41:00::,43445,37844,0.8727575885413528,0.9221022879559465
test,v,screen.v.01,test%2:41:01::,5043,3102,0.1013077803893208,0.07558295363173412
text,n,text.n.01,text%1:10:00::,52086,44283,0.9769666504107739,0.9942075840237085
text,n,textbook.n.01,text%1:10:02::,591,246,0.011085268409798552,0.0055230012797198086
then,r,then.r.01,then%4:02:00::,54322,47829,0.5977924750470447,0.6026232234653764
then,r,then.r.02,then%4:02:02::,29263,25916,0.32202792970254535,0.3265295837113194
then,r,then.r.03,then%4:02:01::,7286,5623,0.08017959525040992,0.07084719282330411
there,r,there.r.01,there%4:02:00::,92329,86035,0.9532703525889216,0.9832121960138965
there,r,there.r.02,there%4:02:02::,3918,1442,0.04045222239430076,0.016479246663009692
through,r,through.r.01,through%4:02:03::,1769,249,0.41168256923434954,0.44385026737967914
through,r,through.r.03,through%4:02:04::,1166,276,0.2713521061205492,0.4919786096256685
time,n,time.n.02,time%1:28:05::,36857,26093,0.38449581672891153,0.4355002920804473
time,n,time.n.01,time%1:11:00::,36647,25103,0.3823050762586326,0.4189768839188851
time,n,time.n.03,time%1:28:00::,9817,3647,0.10241190093680236,0.06086956521739131
time,n,time.n.05,time%1:03:00::,5116,1784,0.05337061069498633,0.029775515313360593
time,n,time.n.04,time%1:28:06::,3406,1672,0.03553172400842913,0.027906200450638404
time,n,clock_time.n.01,time%1:28:03::,1889,1061,0.01970623213503307,0.017708420262037887
time,n,time.n.06,time%1:11:01::,627,247,0.006540925118404307,0.0041225068847534005
type,n,type.n.01,type%1:09:00::,75123,68353,0.9166148102053516,0.9694223432469614
type,n,type.n.04,type%1:10:01::,3204,1366,0.039093671071415495,0.019373413323121872
type,n,type.n.05,type%1:10:00::,3000,465,0.03660456092829167,0.006594902778368719
type,n,character.n.05,type%1:18:00::,454,312,0.005539490220481472,0.004424967025486108
type,v,type.v.01,type%2:32:00::,5744,5589,0.5649095200629426,0.5710053126277074
type,v,type.v.02,type%2:31:00::,4424,4199,0.43509047993705746,0.4289946873722926
use,n,use.n.01,use%1:04:00::,88640,65954,0.934685872155556,0.9876310272536688
use,n,function.n.02,use%1:07:00::,5001,774,0.052734251428812454,0.011590296495956873
use,v,use.v.01,use%2:34:01::,92739,91473,0.9842396841569027,0.9908361225749845
use,v,use.v.06,use%2:41:03::,893,639,0.009477415520461878,0.006921652097618042
used,a,used.a.01,used%3:00:00::,662,451,0.4681753889674682,0.4983425414364641
used,a,secondhand.s.02,used%5:00:00:old:01,504,428,0.3564356435643564,0.47292817679558014
