lemma,pos,synset,sense_key,n,n_conf,share
see,v,see.v.11,see%2:41:11::,728,461,0.007575048124447219
see,v,see.v.10,see%2:31:03::,516,266,0.005369127516778523
set,a,laid.s.01,set%5:00:00:arranged:00,956,157,0.46072289156626506
set,a,determined.s.04,set%5:00:00:settled:02,555,388,0.2674698795180723
set,a,located.s.01,set%5:00:00:settled:01,229,33,0.11036144578313253
set,n,set.n.01,set%1:14:00::,50614,43296,0.6698872359574355
set,n,set.n.02,set%1:14:02::,15377,11603,0.2035179204828207
set,n,set.n.07,set%1:04:01::,3207,1667,0.04244533855683202
set,n,stage_set.n.01,set%1:06:00::,2315,1829,0.03063952564984912
set,n,set.n.13,set%1:06:01::,1475,1195,0.01952194398856477
set,n,set.n.03,set%1:04:00::,929,431,0.012295515908729949
set,n,set.n.08,set%1:28:00::,633,548,0.00837789189475356
set,n,set.n.05,set%1:14:01::,382,122,0.005055852612631691
set,n,bent.n.01,set%1:09:01::,284,45,0.0037588014188151835
set,n,hardening.n.02,set%1:22:00::,232,135,0.0030705701731166286
set,n,set.n.11,set%1:11:00::,74,71,0.000979406003494097
set,v,set.v.08,set%2:30:02::,19738,4744,0.22856282640666073
set,v,put.v.01,set%2:35:00::,18504,3566,0.21427330731729913
set,v,determine.v.03,set%2:31:04::,17934,3004,0.2076728001204303
set,v,set.v.05,set%2:30:01::,16395,4531,0.18985143068888452
set,v,set.v.09,set%2:36:01::,3648,487,0.042243246059960396
set,v,set.v.04,set%2:32:01::,1766,1103,0.02044999247310583
set,v,set.v.06,set%2:35:02::,292,47,0.00338131245874683
